date,start,place,numbers,crowds,whether,temperature,humidity
2000/03/11,14:01,国立霞ヶ丘競技場,"['3', '0', '7', '9', '4']",30794,曇,12.6,24%
2000/03/11,14:02,ジュビロ磐田スタジアム,"['1', '4', '0', '5', '6']",14056,曇,11.6,22%
2000/03/11,15:01,市原臨海競技場,"['6', '3', '3', '1']",6331,曇,12.6,21%
2000/03/11,15:03,神戸総合運動公園ユニバー記念競技場,"['4', '3', '5', '4']",4354,曇,7.3,65%
2000/03/11,15:06,東平尾公園博多の森球技場,"['1', '0', '3', '8', '3']",10383,雨,12.6,43%
2000/03/11,16:03,日本平スタジアム,"['1', '1', '6', '6', '0']",11660,曇,10.3,32%
2000/03/11,19:04,等々力陸上競技場,"['7', '2', '8', '7']",7287,曇,12.3,36%
2000/03/11,19:07,横浜国際総合競技場,"['2', '1', '8', '4', '1']",21841,曇,15.6,28%
2000/03/18,14:02,名古屋市瑞穂陸上競技場,"['2', '1', '0', '7', '1']",21071,晴,16.6,20%
2000/03/18,15:00,京都市西京極総合運動公園陸上競技場,"['5', '1', '6', '7']",5167,晴,16.6,20%
2000/03/18,15:04,国立霞ヶ丘競技場,"['1', '0', '9', '3', '2']",10932,晴,15.3,34%
2000/03/18,15:04,日本平スタジアム,"['1', '2', '4', '6', '6']",12466,晴,17.0,38%
2000/03/18,16:01,万博記念競技場,"['8', '0', '9', '3']",8093,晴,14.0,20%
2000/03/18,16:03,広島ビッグアーチ,"['1', '1', '1', '9', '7']",11197,晴,13.6,20%
2000/03/18,19:03,日立柏サッカー場,"['8', '6', '6', '2']",8662,曇,11.6,59%
2000/03/18,19:04,等々力陸上競技場,"['1', '4', '2', '8', '5']",14285,晴,12.6,49%
2000/03/25,14:00,等々力陸上競技場,"['5', '0', '2', '4']",5024,晴のち曇,15.6,28%
2000/03/25,14:00,長居スタジアム,"['6', '7', '7', '1']",6771,晴,12.3,37%
2000/03/25,14:04,京都市西京極総合運動公園陸上競技場,"['6', '1', '2', '9']",6129,晴一時雨,11.3,44%
2000/03/25,14:34,日本平スタジアム,"['1', '1', '0', '5', '7']",11057,晴,10.6,28%
2000/03/25,15:03,横浜国際総合競技場,"['2', '3', '2', '8', '8']",23288,晴,14.5,23%
2000/03/25,15:03,東平尾公園博多の森球技場,"['1', '2', '6', '2', '2']",12622,晴,14.5,29%
2000/03/25,16:04,市原臨海競技場,"['4', '1', '1', '3']",4113,晴,13.0,30%
2000/03/25,19:04,国立霞ヶ丘競技場,"['1', '4', '3', '6', '8']",14368,晴,11.6,23%
2000/04/01,13:33,等々力陸上競技場,"['4', '1', '3', '1']",4131,晴,17.6,20%
2000/04/01,14:03,広島ビッグアーチ,"['7', '0', '4', '7']",7047,晴,19.0,20%
2000/04/01,15:00,万博記念競技場,"['8', '4', '0', '0']",8400,晴,18.0,20%
2000/04/01,15:01,柏の葉公園総合競技場,"['1', '0', '3', '2', '1']",10321,晴,13.6,20%
2000/04/01,15:05,名古屋市瑞穂球技場,"['8', '9', '9', '7']",8997,晴,15.6,20%
2000/04/01,16:03,国立霞ヶ丘競技場,"['2', '5', '3', '1', '7']",25317,晴,15.3,20%
2000/04/01,19:03,神戸総合運動公園ユニバー記念競技場,"['4', '5', '4', '3']",4543,晴,11.3,40%
2000/04/01,19:04,ジュビロ磐田スタジアム,"['1', '0', '4', '6', '3']",10463,晴,11.6,20%
2000/04/05,19:00,等々力陸上競技場,"['4', '3', '7', '1']",4371,曇,15.3,77%
2000/04/05,19:00,長居スタジアム,"['4', '0', '7', '4']",4074,曇,15.3,70%
2000/04/05,19:01,東平尾公園博多の森球技場,"['7', '4', '9', '8']",7498,曇,18.6,48%
2000/04/05,19:03,横浜市三ツ沢公園球技場,"['4', '6', '2', '9']",4629,曇,17.3,67%
2000/04/05,19:03,広島スタジアム,"['4', '1', '7', '5']",4175,曇,15.0,72%
2000/04/05,19:04,国立霞ヶ丘競技場,"['1', '2', '6', '0', '2']",12602,曇,15.6,73%
2000/04/05,19:04,日本平スタジアム,"['8', '7', '7', '4']",8774,曇のち雨,15.0,93%
2000/04/05,19:04,京都市西京極総合運動公園陸上競技場,"['5', '8', '2', '5']",5825,曇,13.3,77%
2000/04/08,14:03,名古屋市瑞穂陸上競技場,"['1', '7', '8', '3', '0']",17830,晴,18.6,20%
2000/04/08,14:59,万博記念競技場,"['4', '9', '1', '1']",4911,晴,16.0,20%
2000/04/08,15:00,市原臨海競技場,"['4', '4', '8', '5']",4485,晴,20.3,20%
2000/04/08,15:01,富山県総合運動公園陸上競技場,"['1', '4', '7', '5', '4']",14754,晴,13.6,37%
2000/04/08,15:03,神戸総合運動公園ユニバー記念競技場,"['8', '0', '0', '5']",8005,晴,16.0,29%
2000/04/08,16:02,ジュビロ磐田スタジアム,"['1', '0', '0', '5', '8']",10058,晴,19.0,20%
2000/04/08,19:03,日立柏サッカー場,"['9', '1', '7', '3']",9173,曇,13.0,29%
2000/04/08,19:05,国立霞ヶ丘競技場,"['1', '2', '6', '8', '2']",12682,晴,14.5,20%
2000/04/15,15:00,市原臨海競技場,"['4', '8', '2', '7']",4827,雨,14.5,63%
2000/04/15,15:03,国立霞ヶ丘競技場,"['6', '6', '6', '5']",6665,雨,14.5,69%
2000/04/15,15:03,長居スタジアム,"['9', '1', '1', '5']",9115,雨,16.0,64%
2000/04/15,15:04,横浜国際総合競技場,"['1', '6', '8', '5', '3']",16853,雨,11.6,75%
2000/04/15,19:01,神戸総合運動公園ユニバー記念競技場,"['2', '7', '3', '8']",2738,雨,12.0,60%
2000/04/15,19:02,等々力陸上競技場,"['4', '1', '0', '3']",4103,雨,10.3,79%
2000/04/15,19:04,東平尾公園博多の森球技場,"['8', '2', '8', '4']",8284,曇,15.1,59%
2000/04/22,13:30,等々力陸上競技場,"['9', '7', '0', '3']",9703,晴,24.6,41%
2000/04/22,14:04,名古屋市瑞穂陸上競技場,"['1', '0', '3', '7', '8']",10378,曇のち晴,22.0,41%
2000/04/22,15:00,柏の葉公園総合競技場,"['1', '0', '6', '6', '9']",10669,晴,22.0,40%
2000/04/22,15:03,テクノポート福井スタジアム,"['9', '2', '7', '5']",9275,曇,18.6,63%
